source_id,ra,dec,pmra,pmra_error,pmdec,pmdec_error,parallax,parallax_error,ruwe,radial_velocity,phot_bp_mean_mag,phot_g_mean_mag,phot_rp_mean_mag,bp_rp,phot_variable_flag,non_single_star,teff_gspphot,logg_gspphot,mh_gspphot,r_med_geo,r_lo_geo,r_hi_geo,r_med_photogeo,r_lo_photogeo,r_hi_photogeo,qg_geo,gq_photogeo,_2MASSID
6882963066420161664,313.1361327596479,-16.974558468206272,-309.11501874685354,0.04104025,37.05090624523243,0.025808834,177.93122142191174,0.03653056,1.0382286,,11.736595,10.081701,8.835035,2.9015598,NOT_AVAILABLE,0,3000.1555,4.4638,-0.6792,5.618382,5.6174717,5.6193676,5.6187663,5.6176453,5.6199946,11.333644967388905,11.33349643083891,20523304-1658289
4339417394313320192,253.89324627148858,-8.398523023114832,-813.0375057553445,0.06271196,-870.6093515335183,0.044425607,153.96586519953095,0.057011306,1.0465386,,17.05317,13.813289,12.324193,4.7289762,NOT_AVAILABLE,0,,,,6.4926033,6.490125,6.4943824,6.4919147,6.489715,6.4938297,14.751194347185688,14.751424648152698,16553529-0823401
4339465360510320128,253.85142032580904,-8.32657626383978,-817.5802750580574,0.052498914,-898.5949677238423,0.03971254,153.87539543012036,0.047417864,1.08038,15.20472,12.005681,10.444497,9.227242,2.7784386,VARIABLE,0,3028.3591,4.4886,-0.7948,6.497352,6.494936,6.4996557,6.4969864,6.4950776,6.499252,11.380815088742967,11.380937323746704,16552527-0819207
4365609170043180416,254.27604768745735,-4.350649323558728,481.6301896926741,0.02734764,-376.2195891539112,0.020926613,114.91584350091051,0.02515796,0.91911286,-4.1794305,12.519061,10.913422,9.681986,2.8370752,VARIABLE,0,3001.3828,4.3906,-0.7583,8.698168,8.695939,8.70003,8.69833,8.696305,8.700372,11.216282722798997,11.21624224923073,16570570-0420559
4389844948935164544,262.59483404601906,5.547410099313729,29.738576040378977,0.014671225,-249.31779175249292,0.011988331,98.84390060325413,0.015594923,0.919199,-12.945263,9.528842,8.53296,7.5443788,1.9844632,NOT_AVAILABLE,0,3754.776,4.693,-0.0648,10.113215,10.111687,10.114554,10.1135,10.111691,10.114954,8.508513641479611,8.508452621043801,17302272+0532547
4364480521350598144,256.3033222371967,-5.099267007481263,-917.206570880673,0.023004292,-1132.152574250174,0.016489012,95.5597040061285,0.021423033,0.8968947,34.419224,10.293622,9.177887,8.120326,2.173296,NOT_AVAILABLE,0,3546.7683,4.6644,-0.4294,10.46,10.457521,10.462472,10.459986,10.45801,10.462433,9.080228532315122,9.080231502026702,17051383-0505385
2817999068780218368,350.4035366349682,17.284242398759528,-536.9745219681688,0.030201955,-1382.4095448466153,0.02348076,94.36672394942809,0.028674357,1.0152965,-6.308251,11.943432,10.35875,9.125892,2.8175402,NOT_AVAILABLE,0,,,,10.591301,10.587689,10.594366,10.590845,10.586726,10.594313,10.234003797299586,10.23409726086323,23213752+1717284
4383790518216171264,250.02571538084769,0.7045342401421566,175.79620639780794,0.033251427,-158.0057248741521,0.025178058,88.6929302568156,0.029005282,1.2769226,5.3557916,13.937533,12.179532,10.908958,3.028575,NOT_AVAILABLE,0,,,,11.273033,11.270092,11.277124,11.273227,11.269385,11.277726,11.919328132061688,11.919290840898737,16400599+0042188
4165561928540617856,266.6220201822353,-8.712042478984,-43.80536011101947,0.038714267,-428.1753659235248,0.023760058,76.53609815528525,0.036165237,1.1762799,-16.766867,12.984178,11.275215,10.01314,2.9710379,NOT_AVAILABLE,0,,,,13.060992,13.055694,13.067109,13.061002,13.053857,13.06866,10.695334291649708,10.695332706106534,17462934-0842362
4405150047715392128,243.60495984709542,-2.848575653404131,-7.808449018718265,0.082726166,367.40550337108414,0.06097727,68.94932895651257,0.08347323,1.2649151,,18.241714,15.223379,13.751871,4.4898434,NOT_AVAILABLE,0,,,,14.485785,14.469886,14.506422,14.489229,14.472116,14.506574,14.418669030218187,14.418152722649848,16142520-0251009
